name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
ramee,English,personality,Grand Theft Auto V,7.1,466.0,32.957,1.2,9.943,589000,41700000,56,3.9,Wednesday,Wednesday
xmerghani,Polish,personality,Just Chatting,4.5,884.0,6.828,2.5,3.05,562000,4310000,136,4.1,Wednesday,Saturday
rezo,German,personality,Just Chatting,4.2,3.015,33.173,1.3,893.0,656000,7100000,30,1.2,Sunday,Saturday
cohhcarnage,English,personality,Path of Exile,7.4,167.0,32.809,1.2,20.458,1570000,223000000,907,7.0,Friday,Thursday
jasontheween,English,personality,Just Chatting,6.0,578.0,2.0,2.5,3.121,302000,1200,158,1.7,Thursday,Monday
gocchanmikey,Japanese,personality,Grand Theft Auto V,8.2,834.0,0.0,1.2,1.426,164000,0,34,1.9,Tuesday,Sunday
simurgh,English,personality,Ashes of Creation,3.5,1.038,409.0,1.5,6.262,1480000,639000,227,4.6,Sunday,Friday
jasper7se,Japanese,personality,VALORANT,6.6,448.0,23.844,1.3,8.97,613000,32600000,117,3.5,Saturday,Sunday
leb1ga,Ukrainian,personality,Just Chatting,2.6,1.597,2.0,1.1,542.0,332000,7700,12,1.0,Tuesday,Sunday
riotgamesjp,Japanese,esports,League of Legends,5.8,371.0,78.443,1.0,4.473,310000,63500000,7,2.0,Saturday,Sunday
mastersnakou,French,personality,Just Chatting,6.0,189.0,11.807,2.4,13.356,685000,33800000,745,5.7,Friday,Sunday
stray228,Russian,personality,Dota 2,6.0,734.0,55.905,1.0,12.578,1600000,120000000,14,5.4,Wednesday,Thursday
northernlion,English,personality,Super Auto Pets,3.8,260.0,13.005,2.5,7.653,688000,37000000,830,5.1,Thursday,Tuesday
stableronaldo,English,personality,Fortnite,3.9,3.302,47.216,2.0,4.075,3090000,44200000,112,3.8,Saturday,Sunday
bren_tm2,English,personality,Trackmania,3.9,198.0,3.449,1.1,3.348,162000,2800000,32,2.9,Tuesday,Sunday
unboxholics,English,personality,Variety,2.1,1.329,33.493,1.0,1.173,459000,12000000,190,1.4,Friday,Friday
davooxeneize,Spanish,personality,Just Chatting,5.1,2.075,2.102,1.2,4.449,1860000,1880000,9,4.8,Tuesday,Monday
hiiragitsurugi,Japanese,personality,Grand Theft Auto V,7.0,1.024,0.0,1.2,1.104,179000,0,15,4.3,Thursday,Saturday
hanjoudesu,Japanese,personality,Apex Legends,5.7,331.0,4.251,1.3,4.27,271000,3480000,88,4.0,Wednesday,Sunday
gabepeixe,Portuguese,personality,Just Chatting,8.8,1.373,17.551,2.8,11.963,1520000,19500000,280,3.8,Wednesday,Sunday
roger9527,Chinese,personality,Hearthstone,7.5,333.0,33.004,1.5,3.543,196000,18200000,46,1.2,Friday,Sunday
juansguarnizo,Spanish,personality,Just Chatting,5.2,5.678,84.694,2.7,11.163,11200000,168000000,333,5.5,Thursday,Friday
locklear,French,personality,Just Chatting,5.3,1.195,35.123,2.1,10.867,2200000,64700000,531,5.3,Wednesday,Thursday
